ID,stations,全日进站量,全日出站量,全日进出站量,800m开发强度,300m开发强度,800m人口密度,800m岗位密度,800m人岗密度,300m人口密度,300m岗位密度,300m人岗密度
1,陶然亭,18012,17792,35804,,,,,,,,
2,天桥,11842,13607,25449,,,,,,,,
3,天坛东门,15562,16037,31599,,,,,,,,
4,菜市口,14331,14937,29268,,,,,,,,
5,虎坊桥,9685,10014,19699,,,,,,,,
6,广安门内,22418,24565,46983,,,,,,,,
7,珠市口,13965,13481,27446,,,,,,,,
8,桥湾,7754,7961,15715,,,,,,,,
9,磁器口,16787,16501,33288,,,,,,,,
10,广渠门内,16796,16947,33743,,,,,,,,
11,长椿街,19454,19011,38465,,,,,,,,
12,宣武门,21143,21960,43103,,,,,,,,
13,和平门,10065,8983,19048,,,,,,,,
14,前门,24577,25647,50224,,,,,,,,
15,崇文门,38910,39578,78488,,,,,,,,
16,北京站,37431,35749,73180,,,,,,,,
17,西单,41129,42694,83823,,,,,,,,
18,复兴门,26004,28494,54498,,,,,,,,
19,天安门西,8822,11098,19920,,,,,,,,
20,天安门东,25167,34520,59687,,,,,,,,
21,王府井,32508,32132,64640,,,,,,,,
22,东单,29996,33473,63469,,,,,,,,
23,建国门,24107,25880,49987,,,,,,,,
24,灵境胡同,14761,15097,29858,,,,,,,,
25,灯市口,20659,22208,42867,,,,,,,,
26,阜成门,34526,36465,70991,,,,,,,,
27,西四,11645,11678,23323,,,,,,,,
28,东四,16628,16676,33304,,,,,,,,
29,中国美术馆,12372,8486,20858,,,,,,,,
30,平安里,21348,21323,42671,,,,,,,,
31,南锣鼓巷,20482,21590,42072,,,,,,,,
32,北海北,15734,15510,31244,,,,,,,,
33,张自忠路,9402,9441,18843,,,,,,,,
34,东四十条,24859,26310,51169,,,,,,,,
35,什刹海,17601,12418,30019,,,,,,,,
36,新街口,11122,11518,22640,,,,,,,,
37,北新桥,19593,18203,37796,,,,,,,,
38,东直门,43912,46913,90825,,,,,,,,
39,鼓楼大街,16578,16337,32915,,,,,,,,
40,安定门,12920,12165,25085,,,,,,,,
41,雍和宫,25263,27635,52898,,,,,,,,
42,牛街,16955,17654,34609,,,,,,,,
43,金鱼胡同,23738,22165,45903,,,,,,,,
44,太平桥,20380,23641,44021,,,,,,,,
45,东管头南,3011,2766,5777,,,,,,,,
46,木樨园,10432,9619,20051,,,,,,,,
47,刘家窑,17851,16120,33971,,,,,,,,
48,北京南站,79815,76863,156678,,,,,,,,
49,景泰,10848,9803,20651,,,,,,,,
50,蒲黄榆,23976,22767,46743,,,,,,,,
51,方庄,16614,16717,33331,,,,,,,,
52,永定门外,15980,16354,32334,,,,,,,,
53,潘家园,25102,23759,48861,,,,,,,,
54,六里桥东,20591,19613,40204,,,,,,,,
55,达官营,22587,22192,44779,,,,,,,,
56,湾子,12697,12271,24968,,,,,,,,
57,广渠门外,12961,12682,25643,,,,,,,,
58,北京西站,71087,61866,132953,,,,,,,,
59,莲花桥,6482,6637,13119,,,,,,,,
60,南礼士路,20070,21472,41542,,,,,,,,
61,木樨地,24100,24617,48717,,,,,,,,
62,军事博物馆,21732,23576,45308,,,,,,,,
63,永安里,25950,26695,52645,,,,,,,,
64,甘家口,6820,6903,13723,,,,,,,,
65,东大桥,27730,29083,56813,,,,,,,,
66,白堆子,12246,12994,25240,,,,,,,,
67,朝阳门,55489,57998,113487,,,,,,,,
68,车公庄西,13479,14240,27719,,,,,,,,
69,车公庄,24327,26005,50332,,,,,,,,
70,白石桥南,20581,21443,42024,,,,,,,,
71,花园桥,16909,16785,33694,,,,,,,,
72,动物园,11485,11465,22950,,,,,,,,
73,西直门,57362,57720,115082,,,,,,,,
74,国家图书馆,17816,17877,35693,,,,,,,,
75,万寿寺,8023,7862,15885,,,,,,,,
76,积水潭,33390,32276,65666,,,,,,,,
77,安德里北街,8091,8191,16282,,,,,,,,
78,魏公村,21964,24046,46010,,,,,,,,
79,柳芳,10338,10087,20425,,,,,,,,
80,和平里北街,17790,18166,35956,,,,,,,,
81,大钟寺,16082,18184,34266,,,,,,,,
82,和平西桥,16916,17027,33943,,,,,,,,
83,光熙门,10089,7444,17533,,,,,,,,
84,东管头,8589,8676,17265,,,,,,,,
85,菜户营,5051,4757,9808,,,,,,,,
86,丽泽商务区,20631,22190,42821,,,,,,,,
87,西铁营,12076,12268,24344,,,,,,,,
88,景风门,14898,13889,28787,,,,,,,,
89,玉渊潭东门,6419,7007,13426,,,,,,,,
90,红莲南路,10565,10177,20742,,,,,,,,
91,二里沟,9893,10507,20400,,,,,,,,
92,科怡路,9052,9143,18195,,,,,,,,
93,肖村,3621,3600,7221,,,,,,,,
94,大红门南,4879,4427,9306,,,,,,,,
95,公益西桥,15582,15482,31064,,,,,,,,
96,丰台南路,11461,11026,22487,,,,,,,,
97,纪家庙,8782,8710,17492,,,,,,,,
98,首经贸,18522,18439,36961,,,,,,,,
99,角门东,20951,20742,41693,,,,,,,,
100,大红门,10417,9846,20263,,,,,,,,
101,成寿寺,16974,16164,33138,,,,,,,,
102,石榴庄,15051,14616,29667,,,,,,,,
103,草桥,52271,50994,103265,,,,,,,,
104,宋家庄,47143,44960,92103,,,,,,,,
105,角门西,19987,18997,38984,,,,,,,,
106,丰台站,44692,32158,76850,,,,,,,,
107,海户屯,8306,7876,16182,,,,,,,,
108,分钟寺,6014,5767,11781,,,,,,,,
109,马家堡,12092,11913,24005,,,,,,,,
110,丰台东大街,8289,8170,16459,,,,,,,,
111,泥洼,8589,8296,16885,,,,,,,,
112,西局,13460,13151,26611,,,,,,,,
113,十里河,45366,43249,88615,,,,,,,,
114,七里庄,16925,16589,33514,,,,,,,,
115,北工大西门,16788,15181,31969,,,,,,,,
116,六里桥,23292,23231,46523,,,,,,,,
117,劲松,24249,23439,47688,,,,,,,,
118,平乐园,14112,13682,27794,,,,,,,,
119,大郊亭,9652,10212,19864,,,,,,,,
120,双井,34081,35853,69934,,,,,,,,
121,九龙山,27848,28727,56575,,,,,,,,
122,万寿路,15455,16158,31613,,,,,,,,
123,公主坟,13628,14731,28359,,,,,,,,
124,五棵松,35840,36209,72049,,,,,,,,
125,大望路,56183,60665,116848,,,,,,,,
126,国贸,69174,69736,138910,,,,,,,,
127,金台夕照,33177,35805,68982,,,,,,,,
128,金台路,22638,22221,44859,,,,,,,,
129,呼家楼,31583,31750,63333,,,,,,,,
130,西钓鱼台,21182,21335,42517,,,,,,,,
131,海淀五路居,17567,18430,35997,,,,,,,,
132,慈寿寺,13956,13691,27647,,,,,,,,
133,朝阳公园,11285,11561,22846,,,,,,,,
134,团结湖,27780,28660,56440,,,,,,,,
135,农业展览馆,3792,4629,8421,,,,,,,,
136,枣营,8271,8629,16900,,,,,,,,
137,车道沟,13642,13901,27543,,,,,,,,
138,亮马桥,29656,30163,59819,,,,,,,,
139,东风北桥,8396,8329,16725,,,,,,,,
140,长春桥,11929,12756,24685,,,,,,,,
141,三元桥,37530,40405,77935,,,,,,,,
142,苏州桥,13508,13523,27031,,,,,,,,
143,火器营,6660,6189,12849,,,,,,,,
144,人民大学,21342,21266,42608,,,,,,,,
145,安华桥,15007,14520,29527,,,,,,,,
146,太阳宫,22205,22486,44691,,,,,,,,
147,巴沟,17362,18001,35363,,,,,,,,
148,苏州街,30156,30901,61057,,,,,,,,
149,海淀黄庄,35115,35122,70237,,,,,,,,
150,西土城,27635,28943,56578,,,,,,,,
151,牡丹园,27746,28771,56517,,,,,,,,
152,知春里,16356,17222,33578,,,,,,,,
153,知春路,23130,24389,47519,,,,,,,,
154,健德门,15734,14847,30581,,,,,,,,
155,北土城,11491,11325,22816,,,,,,,,
156,安贞门,25142,26481,51623,,,,,,,,
157,惠新西街南口,20655,20710,41365,,,,,,,,
158,芍药居,24323,23256,47579,,,,,,,,
159,中关村,24051,26083,50134,,,,,,,,
160,奥体中心,7266,7285,14551,,,,,,,,
161,惠新西街北口,21106,21585,42691,,,,,,,,
162,周家庄,3424,3696,7120,,,,,,,,
163,北太平庄,11772,11960,23732,,,,,,,,
164,五福堂,5899,5563,11462,,,,,,,,
165,西红门,24483,25419,49902,,,,,,,,
166,火箭万源,6617,6571,13188,,,,,,,,
167,东高地,4885,4610,9495,,,,,,,,
168,旧宫,15574,15284,30858,,,,,,,,
169,大葆台,8859,8801,17660,,,,,,,,
170,和义,9598,9314,18912,,,,,,,,
171,新宫,39985,38696,78681,,,,,,,,
172,郭公庄,11534,10955,22489,,,,,,,,
173,白盆窑,9493,9437,18930,,,,,,,,
174,丰台科技园,33529,35617,69146,,,,,,,,
175,花乡东桥,7037,7357,14394,,,,,,,,
176,小红门,11432,11018,22450,,,,,,,,
177,焦化厂,3509,3377,6886,,,,,,,,
178,大瓦窑,5677,5594,11271,,,,,,,,
179,双合,8927,8649,17576,,,,,,,,
180,垡头,11617,11119,22736,,,,,,,,
181,郭庄子,9520,9494,19014,,,,,,,,
182,大井,7157,7550,14707,,,,,,,,
183,欢乐谷景区,5731,5894,11625,,,,,,,,
184,南楼梓庄,6347,6093,12440,,,,,,,,
185,化工,5622,5350,10972,,,,,,,,
186,百子湾,19817,21248,41065,,,,,,,,
187,八角游乐园,16193,15877,32070,,,,,,,,
188,八宝山,20633,19569,40202,,,,,,,,
189,玉泉路,18500,18338,36838,,,,,,,,
190,四惠东,25768,25967,51735,,,,,,,,
191,四惠,19778,20352,40130,,,,,,,,
192,高碑店,11203,11710,22913,,,,,,,,
193,十里堡,21438,21655,43093,,,,,,,,
194,青年路,31701,34233,65934,,,,,,,,
195,田村,13790,13502,27292,,,,,,,,
196,廖公庄,5013,4615,9628,,,,,,,,
197,将台,28263,30591,58854,,,,,,,,
198,茶棚,1690,1648,3338,,,,,,,,
199,万安,318,275,593,,,,,,,,
200,望京南,18617,19205,37822,,,,,,,,
201,万泉河桥,6451,6766,13217,,,,,,,,
202,颐和园西门,416,618,1034,,,,,,,,
203,北京大学东门,10927,10583,21510,,,,,,,,
204,阜通,17126,18092,35218,,,,,,,,
205,五道口,25595,26922,52517,,,,,,,,
206,望京西,11820,11876,23696,,,,,,,,
207,西苑,10606,9380,19986,,,,,,,,
208,望京,21220,20367,41587,,,,,,,,
209,圆明园,7178,6857,14035,,,,,,,,
210,清华东路西口,8453,8336,16789,,,,,,,,
211,六道口,15300,15487,30787,,,,,,,,
212,关庄,8372,9491,17863,,,,,,,,
213,北沙滩,7625,7502,15127,,,,,,,,
214,奥林匹克公园,17207,18065,35272,,,,,,,,
215,北宫门,5408,6836,12244,,,,,,,,
216,安立路,10210,10118,20328,,,,,,,,
217,望京东,28553,32265,60818,,,,,,,,
218,大屯路东,17844,18381,36225,,,,,,,,
219,森林公园南门,5645,6186,11831,,,,,,,,
220,东湖渠,14859,15077,29936,,,,,,,,
221,林萃桥,6525,6125,12650,,,,,,,,
222,新发地,8571,7735,16306,,,,,,,,
223,十八里店,2738,2675,5413,,,,,,,,
224,学院桥,11337,11556,22893,,,,,,,,
225,富丰桥,10804,10677,21481,,,,,,,,
226,看丹,1324,1172,2496,,,,,,,,
227,榆树庄,2652,2495,5147,,,,,,,,
228,学知园,11524,11815,23339,,,,,,,,
229,义和庄,8103,7947,16050,,,,,,,,
230,黄村火车站,8789,8045,16834,,,,,,,,
231,良乡大学城西,10387,10151,20538,,,,,,,,
232,良乡大学城,8293,8228,16521,,,,,,,,
233,良乡南关,7980,7844,15824,,,,,,,,
234,苏庄,8297,7945,16242,,,,,,,,
235,阎村东,4840,4565,9405,,,,,,,,
236,良乡大学城北,8440,8806,17246,,,,,,,,
237,黄村西大街,14374,14362,28736,,,,,,,,
238,大兴新城,3047,2752,5799,,,,,,,,
239,清源路,11628,11321,22949,,,,,,,,
240,广阳城,6995,6986,13981,,,,,,,,
241,枣园,15938,15755,31693,,,,,,,,
242,篱笆房,13369,12048,25417,,,,,,,,
243,瀛海,19379,18217,37596,,,,,,,,
244,高米店南,11132,11030,22162,,,,,,,,
245,长阳,27375,26491,53866,,,,,,,,
246,同济南路,17475,16837,34312,,,,,,,,
247,高米店北,10739,10229,20968,,,,,,,,
248,德茂,5138,5198,10336,,,,,,,,
249,荣昌东街,13754,15004,28758,,,,,,,,
250,经海路,14976,17737,32713,,,,,,,,
251,荣京东街,12422,13236,25658,,,,,,,,
252,稻田,14326,13460,27786,,,,,,,,
253,次渠南,7538,6999,14537,,,,,,,,
254,亦庄桥,6848,5957,12805,,,,,,,,
255,万源街,6724,7066,13790,,,,,,,,
256,次渠,4246,3892,8138,,,,,,,,
257,亦庄文化园,4672,4636,9308,,,,,,,,
258,亦庄火车站,2021,1683,3704,,,,,,,,
259,黄厂,9533,9252,18785,,,,,,,,
260,花庄,8492,7744,16236,,,,,,,,
261,郎辛庄,6813,6646,13459,,,,,,,,
262,张郭庄,14666,13003,27669,,,,,,,,
263,黑庄户,3417,3497,6914,,,,,,,,
264,园博园,3540,3994,7534,,,,,,,,
265,万盛西,4544,4474,9018,,,,,,,,
266,高楼金,5611,5666,11277,,,,,,,,
267,万盛东,6592,7249,13841,,,,,,,,
268,群芳,1479,1526,3005,,,,,,,,
269,土桥,15842,13524,29366,,,,,,,,
270,临河里,6482,8162,14644,,,,,,,,
271,梨园,17105,17271,34376,,,,,,,,
272,九棵树,11285,11885,23170,,,,,,,,
273,果园,13545,12631,26176,,,,,,,,
274,北运河西,17909,17382,35291,,,,,,,,
275,北运河东,3394,3301,6695,,,,,,,,
276,通州北苑,20192,22678,42870,,,,,,,,
277,八里桥,6382,5715,12097,,,,,,,,
278,古城,27957,25683,53640,,,,,,,,
279,管庄,14486,14242,28728,,,,,,,,
280,传媒大学,20067,20706,40773,,,,,,,,
281,双桥,19096,18543,37639,,,,,,,,
282,四道桥,2038,2129,4167,,,,,,,,
283,通州北关,26530,26927,53457,,,,,,,,
284,金安桥,25072,21179,46251,,,,,,,,
285,褡裢坡,16287,15970,32257,,,,,,,,
286,黄渠,16997,16404,33401,,,,,,,,
287,草房,24290,22937,47227,,,,,,,,
288,常营,28442,29925,58367,,,,,,,,
289,苹果园,5998,6242,12240,,,,,,,,
290,物资学院路,25722,24475,50197,,,,,,,,
291,杨庄,17671,18590,36261,,,,,,,,
292,西黄村,12445,12417,24862,,,,,,,,
293,植物园,1489,1265,2754,,,,,,,,
294,香山,2513,2517,5030,,,,,,,,
295,安河桥北,6878,6664,13542,,,,,,,,
296,来广营,17044,18476,35520,,,,,,,,
297,农大南路,9831,9554,19385,,,,,,,,
298,崔各庄,7334,8031,15365,,,,,,,,
299,善各庄,8440,7276,15716,,,,,,,,
300,北苑路北,21393,22400,43793,,,,,,,,
301,马连洼,10376,11037,21413,,,,,,,,
302,上地,10066,10279,20345,,,,,,,,
303,马泉营,9766,9847,19613,,,,,,,,
304,永泰庄,12756,12432,25188,,,,,,,,
305,清河站,43206,44930,88136,,,,,,,,
306,立水桥南,20005,19768,39773,,,,,,,,
307,北苑,14408,13528,27936,,,,,,,,
308,孙河,4048,4117,8165,,,,,,,,
309,西小口,12608,12741,25349,,,,,,,,
310,西北旺,12936,12813,25749,,,,,,,,
311,西二旗,55058,60630,115688,,,,,,,,
312,立水桥,28812,26604,55416,,,,,,,,
313,3号航站楼,6578,6583,13161,,,,,,,,
314,育新,19443,19421,38864,,,,,,,,
315,永丰南,9797,10170,19967,,,,,,,,
316,天通苑南,13654,13559,27213,,,,,,,,
317,屯佃,2932,2641,5573,,,,,,,,
318,温阳路,8580,8714,17294,,,,,,,,
319,稻香湖路,8616,9734,18350,,,,,,,,
320,国展,6930,6908,13838,,,,,,,,
321,霍营,26524,24802,51326,,,,,,,,
322,回龙观,24223,21769,45992,,,,,,,,
323,龙泽,22148,21303,43451,,,,,,,,
324,永丰,14384,14815,29199,,,,,,,,
325,天通苑,36216,35231,71447,,,,,,,,
326,2号航站楼,3824,3729,7553,,,,,,,,
327,天通苑北,44294,40941,85235,,,,,,,,
328,花梨坎,13124,12904,26028,,,,,,,,
329,育知路,6458,6086,12544,,,,,,,,
330,平西府,12806,12112,24918,,,,,,,,
331,生命科学园,19815,20777,40592,,,,,,,,
332,朱辛庄,27786,27026,54812,,,,,,,,
333,后沙峪,17923,17687,35610,,,,,,,,
334,南法信,14651,14241,28892,,,,,,,,
335,巩华城,1991,1901,3892,,,,,,,,
336,沙河,45829,45232,91061,,,,,,,,
337,沙河高教园,15862,14993,30855,,,,,,,,
338,北辛安,716,721,1437,,,,,,,,
339,新首钢,247,305,552,,,,,,,,
340,北神树,12697,12771,25468,,,,,,,,
341,次渠北,8618,8270,16888,,,,,,,,
342,嘉会湖,3528,3356,6884,,,,,,,,
343,环球度假区,12758,11125,23883,,,,,,,,
344,清河小营桥,11395,10553,21948,,,,,,,,
345,定海园,265,285,550,,,,,,,,
346,定海园西,179,177,356,,,,,,,,
347,经海一路,59,44,103,,,,,,,,
348,亦创会展中心,67,74,141,,,,,,,,
349,亦庄同仁,163,193,356,,,,,,,,
350,鹿圈东,179,173,352,,,,,,,,
351,九号村,102,98,200,,,,,,,,
352,四海庄,121,125,246,,,,,,,,
353,太和桥北,40,37,77,,,,,,,,
354,回龙观东大街,25798,23702,49500,,,,,,,,
355,泰河路,38,43,81,,,,,,,,
356,天宫院,24057,21227,45284,,,,,,,,
357,生物医药基地,13100,15371,28471,,,,,,,,
358,饶乐府,1970,1766,3736,,,,,,,,
359,马各庄,1566,1529,3095,,,,,,,,
360,房山城关,2476,2355,4831,,,,,,,,
361,大石河东,654,611,1265,,,,,,,,
362,星城,3343,3090,6433,,,,,,,,
363,阎村,1923,1608,3531,,,,,,,,
364,燕山,2659,2556,5215,,,,,,,,
365,紫草坞,519,482,1001,,,,,,,,
366,石厂,4463,4244,8707,,,,,,,,
367,小园,6135,5718,11853,,,,,,,,
368,栗园庄,3059,2926,5985,,,,,,,,
369,潞城,15466,14067,29533,,,,,,,,
370,东夏园,13087,13124,26211,,,,,,,,
371,郝家府,3143,3004,6147,,,,,,,,
372,上岸,5745,5980,11725,,,,,,,,
373,桥户营,6033,5812,11845,,,,,,,,
374,北安河,10373,9506,19879,,,,,,,,
375,顺义,19697,20038,39735,,,,,,,,
376,石门,15160,15526,30686,,,,,,,,
377,俸伯,19874,17302,37176,,,,,,,,
378,南邵,14356,14029,28385,,,,,,,,
379,昌平,16752,16834,33586,,,,,,,,
380,北邵洼,4315,3994,8309,,,,,,,,
381,昌平东关,7400,8136,15536,,,,,,,,
382,十三陵景区,1590,1546,3136,,,,,,,,
383,昌平西山口,4051,3549,7600,,,,,,,,
384,大兴机场,18726,17648,36374,,,,,,,,
385,瑞合庄,118,122,240,,,,,,,,
386,融兴街,80,87,167,,,,,,,,
387,屈庄,138,147,285,,,,,,,,
388,模式口,2729,2601,5330,,,,,,,,
389,洪泰庄,630,636,1266,,,,,,,,
390,宛平城,5511,6161,11672,,,,,,,,
391,未来科学城北,5882,5955,11837,,,,,,,,
392,未来科学城,6736,6328,13064,,,,,,,,
393,天通苑东,12557,11761,24318,,,,,,,,
394,清河营,3709,3417,7126,,,,,,,,
395,红军营,6699,6789,13488,,,,,,,,
396,西坝河,6283,6380,12663,,,,,,,,
397,左家庄,3558,3396,6954,,,,,,,,
398,工人体育场,9824,10252,20076,,,,,,,,
414,石佛营,6886,7126,14012,,,,,,,,
416,四季青桥,4039,3901,7940,,,,,,,,
417,朝阳站,14872,14113,28985,,,,,,,,
418,姚家园,2719,2763,5482,,,,,,,,
419,东坝南,10429,10644,21073,,,,,,,,
421,蓝靛厂,5823,5699,11522,,,,,,,,
422,东坝,8231,8403,16634,,,,,,,,
423,马甸桥,9920,8587,18507,,,,,,,,
424,安贞桥,8176,7985,16161,,,,,,,,
425,将台西,4131,4195,8326,,,,,,,,
427,东坝西,3021,2945,5966,,,,,,,,
428,东坝北,4961,4666,9627,,,,,,,,
430,高家园,10840,10934,21774,,,,,,,,
431,驼房营,9368,9284,18652,,,,,,,,
438,朱房北,5414,5188,10602,,,,,,,,
450,蓟门桥,10897,9788,20685,,,,,,,,
